Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-15,354.3,353.9,353.9,339.35,340.7,341.3,347.35,6557584,2.27778521485e+14,63497,2823439,0.4306
2016-01-18,341.3,341.0,343.3,334.4,340.5,340.2,339.29,6285144,2.1324571706e+14,67853,2753872,0.4382
2016-01-19,340.2,343.0,357.2,342.0,354.25,354.15,351.19,7304555,2.5652792926e+14,77450,3227936,0.4419
2016-01-20,354.15,349.65,349.65,338.8,341.9,342.25,343.31,9156596,3.1435934767e+14,94482,5621987,0.614
2016-01-21,342.25,340.65,344.15,323.0,327.6,328.55,330.92,16524035,5.4681311779e+14,149035,7548745,0.4568
2016-01-22,328.55,335.5,345.9,331.5,339.65,339.5,338.81,9595392,3.2510571572e+14,102494,4568348,0.4761
2016-01-25,339.5,345.5,345.5,331.15,333.6,332.6,338.9,6106931,2.06963285225e+14,88259,1994627,0.3266
2016-01-27,332.6,338.0,341.0,333.2,336.9,337.05,337.7,8333202,2.81413807975e+14,79518,4504083,0.5405
2016-01-28,337.05,336.3,341.4,332.3,333.85,334.2,335.31,13153617,4.4104791882e+14,87267,9295172,0.7067
2016-01-29,334.2,332.0,340.6,324.2,336.9,336.9,334.46,10350998,3.4620412375e+14,110669,4476713,0.4325
2016-02-01,336.9,338.75,342.4,332.25,335.25,338.5,337.69,6563774,2.21653591435e+14,69594,2380197,0.3626
2016-02-02,338.5,343.8,344.7,327.7,329.0,329.55,336.62,9179304,3.08996040275e+14,111160,3940454,0.4293
2016-02-03,329.55,325.55,325.95,317.05,320.95,320.3,321.17,6685445,2.14713862565e+14,93400,2785258,0.4166
2016-02-04,320.3,325.3,329.3,321.2,327.05,325.5,325.79,6086981,1.9830747343e+14,91156,2852224,0.4686
2016-02-05,325.5,330.5,339.0,326.65,336.7,337.1,333.64,9236577,3.0817121971e+14,123929,4202863,0.455
2016-02-08,337.1,334.95,334.95,321.35,322.45,323.5,328.82,6974342,2.2932905723e+14,85772,2580745,0.37
2016-02-09,323.5,319.5,322.65,308.8,311.05,310.65,315.09,12489713,3.93542238955e+14,186452,6600591,0.5285
2016-02-10,310.65,309.85,309.95,288.25,288.7,291.55,296.13,21756193,6.44268711975e+14,213764,12826325,0.5895
2016-02-11,291.55,298.5,300.0,265.8,271.3,276.35,286.23,21632886,6.19198612865e+14,183602,9108237,0.421
2016-02-12,276.35,281.0,303.95,271.6,296.05,298.35,289.45,21542152,6.23542849355e+14,232099,9147888,0.4247
2016-02-15,298.35,297.9,320.75,297.7,316.05,317.25,312.33,18888699,5.89948790715e+14,207165,10997041,0.5822
2016-02-16,317.25,319.4,324.2,298.9,301.8,301.15,312.46,13598374,4.24888788495e+14,151955,5530850,0.4067
2016-02-17,301.15,302.95,313.5,298.65,312.1,310.15,305.9,13717526,4.1961378958e+14,126449,5370382,0.3915
2016-02-18,310.15,315.15,319.1,306.2,312.15,314.0,313.86,12498247,3.92275941845e+14,194648,6591777,0.5274
2016-02-19,314.0,312.1,320.0,311.1,318.05,318.2,315.54,7706462,2.43165939365e+14,89924,3068348,0.3982
2016-02-22,318.2,320.0,324.2,313.6,319.8,318.85,318.05,8699779,2.7669454271e+14,110227,4182046,0.4807
2016-02-23,318.85,324.0,324.75,314.45,317.5,318.55,318.2,11635881,3.70251392705e+14,125251,6021594,0.5175
2016-02-24,318.55,316.0,316.0,304.75,306.55,306.3,309.19,7629905,2.35910342895e+14,96807,2557679,0.3352
2016-02-25,306.3,309.8,312.2,296.2,299.7,298.2,303.1,12959812,3.9281386514e+14,107446,7285465,0.5622
2016-02-26,298.2,303.2,305.2,297.6,302.25,301.8,301.28,9181680,2.7662235097e+14,77802,4339651,0.4726
2016-02-29,301.8,303.2,305.75,290.25,300.0,299.7,300.18,12607181,3.78446991195e+14,117824,6129432,0.4862
2016-03-01,299.7,301.1,317.0,301.1,315.0,315.35,309.66,11440045,3.54250271925e+14,121563,5551778,0.4853
2016-03-02,315.35,322.9,326.0,314.35,316.55,317.1,320.81,12418149,3.9838749028e+14,149616,6010220,0.484
2016-03-03,317.1,324.5,339.8,321.5,337.0,336.7,331.85,12844057,4.262265334e+14,156733,4158977,0.3238
2016-03-04,336.7,340.15,348.75,338.65,343.45,343.5,344.2,8197520,2.82156233785e+14,112411,3031169,0.3698
2016-03-08,343.5,346.5,353.75,341.5,345.5,346.05,347.53,7888999,2.7416658671e+14,89966,2904709,0.3682
2016-03-09,346.05,339.9,349.0,336.0,347.75,347.7,343.33,6383925,2.1918018524e+14,79926,1525762,0.239
2016-03-10,347.7,347.0,353.6,341.4,348.2,348.5,347.8,7443048,2.58871231335e+14,75453,2537750,0.341
2016-03-11,348.5,348.5,355.9,345.15,353.35,354.25,350.4,7641330,2.6775323655e+14,95835,2879263,0.3768
2016-03-14,354.25,359.9,370.55,358.95,365.5,366.45,366.41,13066837,4.78783089175e+14,125898,6646510,0.5087
2016-03-15,366.45,366.9,370.7,359.55,361.2,360.4,363.79,9800731,3.5654508137e+14,105988,4699568,0.4795
2016-03-16,360.4,359.95,362.75,353.3,362.0,359.55,357.53,7554537,2.7009664155e+14,86141,2731421,0.3616
2016-03-17,359.55,366.9,367.4,358.6,359.5,360.9,363.54,6914296,2.5135954832e+14,80395,2955027,0.4274
2016-03-18,360.9,362.5,367.8,362.5,366.05,366.05,365.33,6594019,2.4090043847e+14,69743,3297022,0.5
2016-03-21,366.05,367.25,375.5,365.75,374.85,374.7,371.35,9325793,3.4631546014e+14,124058,4413449,0.4733
2016-03-22,374.7,376.95,381.5,370.4,376.0,377.2,376.28,8909026,3.35231911995e+14,128918,3692806,0.4145
2016-03-23,377.2,378.0,379.45,374.05,376.0,377.0,376.74,5766182,2.17235614485e+14,98825,2588400,0.4489
2016-03-28,377.0,375.5,375.5,361.5,364.0,363.3,368.2,8062793,2.96874454955e+14,76005,4612997,0.5721
2016-03-29,363.3,364.0,378.95,363.05,371.65,372.45,372.03,9364810,3.4840299664e+14,115670,3488485,0.3725
